ecoli1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1
ecoli2;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0
ecoli3;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1
styphi1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
styphi2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
styphi3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
kpneu1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1
kpneu2;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1
kpneu3;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1
kpneu4;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1
kpneu5;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1
pvul1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0
pvul2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
pvul3;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
pmor1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
pmor2;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
smar;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0
